Floor,Garden,Layout,Price,Region,Size,Year
16,溪城家园(西区),2室1厅,368,昌平-立水桥-陈,80,2010
1,府学胡同小区,1室1厅,193,东城-交道口-府,13,2016
5,长阳半岛中央城,2室2厅,102,房山-长阳-京,38,2015
18,太月园(南区),3室2厅,1500,海淀-知春路-罗,204,1999
18,中兴和园,2室1厅,210,北京周边-燕郊-燕,92,2011
21,潮白河孔雀城学府澜湾,2室2厅,112,北京周边-廊坊-侯,76,2014
24,夏威夷南岸,3室1厅,350,北京周边-燕郊-北,127,2008
4,鲁能7号别墅,5室3厅,1200,顺义-马坡-顺,343,2016
15,北京城建琨廷,2室2厅,260,房山-窦店-于,85,2013
30,潮白河孔雀城紫藤园,4室2厅,215,北京周边-廊坊-新,121,2013
4,润泽庄园,5室2厅,2250,朝阳-北苑-水,258,2014
17,易构空间,2室2厅,880,朝阳-大望路-百,126,2008
3,丽京花园,3室2厅,660,顺义-天竺-首,159,1993
7,黄寺大街24号院,3室1厅,1100,西城-德胜门-黄,85,1991
6,密西花园,3室2厅,300,密云-密云-新,123,2000
9,双景馨悦,3室2厅,50,北京周边-唐山-滦,122,2017
28,华侨城,1室1厅,635,朝阳-垡头-金,87,2011
6,海怡庄园(西区),2室1厅,165,密云-密云-京,68,2000
28,金隅万科城,2室1厅,359,昌平-昌平县城-南,86,2012
28,福泰花园(西区),3室2厅,158,北京周边-廊坊-侯,99,2018
6,观音寺新区,4室2厅,456,大兴-观音寺-双,176,2003
6,玉林里,2室1厅,390,丰台-右安门外-玉,54,1991
17,绿地新都会,2室1厅,325,房山-良乡-昊,88,2013
6,莲宝路10号院,1室1厅,375,海淀-万寿路-莲,50,1997
22,格调小区,1室1厅,790,西城-马连道-马,80,2006
20,文慧园,2室1厅,570,海淀-小西天-文,65,2003
28,潮白河孔雀城榕枫园,2室2厅,130,北京周边-廊坊-侯,78,2012
11,八达岭孔雀城(公寓),3室2厅,109,北京周边-张家口-八,95,2018
16,溪城家园(西区),2室1厅,368,昌平-立水桥-陈,80,2010
1,府学胡同小区,1室1厅,193,东城-交道口-府,13,2016
10,优点社区,2室1厅,495,朝阳-常营-幺,90,2007
5,长阳半岛中央城,2室2厅,102,房山-长阳-京,38,2015
9,阳光上东,4室1厅,2150,朝阳-酒仙桥-东,283,2008
6,东园小区,3室2厅,285,怀柔-怀柔-北,99,1998
6,西山国际城,3室2厅,430,海淀-田村-阜,65,2011
6,前沙涧路7号院,1室1厅,255,海淀-海淀北部-沙,62,2010
3,莱蒙湖,5室3厅,1960,顺义-中央别墅区-天,527,2003
10,融创长滩壹号,3室2厅,550,昌平-南邵-南,101,2010
4,棉花城,5室2厅,1450,丰台-科技园区-丰,216,2005
20,大红门南里,2室1厅,182.2,丰台-大红门-南,48,2018
24,方安苑小区,1室1厅,350,丰台-宋家庄-方,66,2002
6,城关南里,2室1厅,150,房山-城关-兴,59,1985
33,汇福悦榕湾,1室1厅,125,北京周边-燕郊-燕,71,2015
7,大成郡,3室2厅,1200,丰台-青塔-大,134,2012
27,芳城园一区,2室1厅,405,丰台-方庄-方,64,1996
22,首尔甜城,1室1厅,80,北京周边-燕郊-燕,40,2016
13,佳世苑北区,2室1厅,330,房山-良乡-规,99,2007
6,龙腾苑三区,2室1厅,430,昌平-回龙观-回,98,2003
28,林奥嘉园,2室1厅,630,朝阳-北苑-清,126,2015
12,启航国际三期,2室1厅,1000,房山-良乡-东,380,2017
20,通泰国际公馆,1室1厅,340,通州-马驹桥-经,56,2016
9,华典家园,1室1厅,240,房山-良乡-房,70,2005
18,泛海国际樱海园,3室2厅,2500,朝阳-朝阳公园东-姚,228,2008
8,中铁花溪渡,3室2厅,550,顺义-马坡-顺,136,2013
18,北街家园七区,3室1厅,340,昌平-沙河-高,89,2010
6,永乐园三里,2室1厅,219,房山-城关-南,83,2000
6,龙博苑三区,1室1厅,320,昌平-回龙观-黄,58,2003
6,育新花园,1室1厅,412,海淀-西三旗-西,51,1997
6,九章别墅,5室4厅,7999,朝阳-金盏乡-东,915,2016
5,绿城百合公寓(北区),3室2厅,446,房山-阎村-京,132,2008
18,懿品府,3室2厅,203,密云-密云-西,75,2012
6,彩虹园小区,2室2厅,240,密云-密云-永,108,2006
6,朱雀门小区,4室1厅,2880,西城-陶然亭-太,213,2013
21,潮白河孔雀城学府澜湾,2室2厅,112,北京周边-廊坊-侯,76,2014
34,港中旅海泉湾,2室2厅,170,北京周边-燕郊-思,83,2016
11,晶彩亦庄,2室2厅,140,通州-通州区其他-桑,88,2017
3,纳帕尔湾,5室3厅,1280,顺义-马坡-右,406,2010
15,瑞都公园世家(北区),3室1厅,680,通州-梨园-北,126,2007
3,莱蒙湖,5室3厅,1960,顺义-中央别墅区-天,527,2003
10,融创长滩壹号,3室2厅,550,昌平-南邵-南,101,2010
4,棉花城,5室2厅,1450,丰台-科技园区-丰,216,2005
20,大红门南里,2室1厅,182.2,丰台-大红门-南,48,2018
24,方安苑小区,1室1厅,350,丰台-宋家庄-方,66,2002
6,城关南里,2室1厅,150,房山-城关-兴,59,1985
6,冠芳园,1室1厅,50,昌平-沙河-定,15,2017
33,汇福悦榕湾,1室1厅,125,北京周边-燕郊-燕,71,2015
5,鲁能7号院润园,3室2厅,650,顺义-马坡-顺,148,2012
7,大成郡,3室2厅,1200,丰台-青塔-大,134,2012
27,芳城园一区,2室1厅,405,丰台-方庄-方,64,1996
22,首尔甜城,1室1厅,80,北京周边-燕郊-燕,40,2016
13,佳世苑北区,2室1厅,330,房山-良乡-规,99,2007
6,龙腾苑三区,2室1厅,430,昌平-回龙观-回,98,2003
32,潮白家园二期,4室2厅,170,北京周边-廊坊-侯,108,2013
28,林奥嘉园,2室1厅,630,朝阳-北苑-清,126,2015
12,启航国际三期,2室1厅,1000,房山-良乡-东,380,2017
20,通泰国际公馆,1室1厅,340,通州-马驹桥-经,56,2016
11,山水文园东园,4室3厅,2000,朝阳-华威桥-弘,260,2017
9,华典家园,1室1厅,240,房山-良乡-房,70,2005
18,泛海国际樱海园,3室2厅,2500,朝阳-朝阳公园东-姚,228,2008
8,中铁花溪渡,3室2厅,550,顺义-马坡-顺,136,2013
18,北街家园七区,3室1厅,340,昌平-沙河-高,89,2010
6,永乐园三里,2室1厅,219,房山-城关-南,83,2000
28,亚林西居住区,2室1厅,555,丰台-菜户营-西,87,2017
6,龙博苑三区,1室1厅,320,昌平-回龙观-黄,58,2003
6,育新花园,1室1厅,412,海淀-西三旗-西,51,1997
6,九章别墅,5室4厅,7999,朝阳-金盏乡-东,915,2016
5,绿城百合公寓(北区),3室2厅,446,房山-阎村-京,132,2008
18,懿品府,3室2厅,203,密云-密云-西,75,2012
6,彩虹园小区,2室2厅,240,密云-密云-永,108,2006
6,朱雀门小区,4室1厅,2880,西城-陶然亭-太,213,2013
